attribute,mean,max,min
pattern_c26,0.12103746397694524,1.0,0.0
pattern_c74,0.3585014409221902,1.0,0.0
ATSc2,-0.3130901522491349,0.005913,-3.619953
pubchem_f681,0.6829971181556196,1.0,0.0
pattern_c83,0.34812680115273775,1.0,0.0
pattern_c81,0.35446685878962536,1.0,0.0
pattern_c69,0.3804034582132565,1.0,0.0
co_single_bond,0.770028818443804,1.0,0.0
maccs_k157,0.770028818443804,1.0,0.0
pubchem_f342,0.652449567723343,1.0,0.0
maccs_k152,0.652449567723343,1.0,0.0
carbonyl,0.575792507204611,1.0,0.0
sugar_pattern_combi,0.11873198847262248,1.0,0.0
pattern_c72,0.3746397694524496,1.0,0.0
maccs_322_061,0.736599423631124,1.0,0.0
pubchem_f504,0.05994236311239193,1.0,0.0
pubchem_f014,0.1377521613832853,1.0,0.0
pubchem_f536,0.5878962536023055,1.0,0.0
maccs_k086,0.17752161383285303,1.0,0.0
pubchem_f640,0.30720461095100865,1.0,0.0
maccs_k104,0.44610951008645533,1.0,0.0
pubchem_f682,0.2478386167146974,1.0,0.0
pattern_c67,0.39481268011527376,1.0,0.0
maccs_322_027,0.7902017291066282,1.0,0.0
pattern_c86,0.7902017291066282,1.0,0.0
pattern_c68,0.3037463976945245,1.0,0.0
pubchem_f691,0.31239193083573485,1.0,0.0
pubchem_f347,0.5435158501440922,1.0,0.0
pubchem_f599,0.0628242074927954,1.0,0.0
maccs_k093,0.2547550432276657,1.0,0.0
maccs_322_259,0.28357348703170027,1.0,0.0
nRotB,7.699711815561959,81.0,0.0
maccs_k159,0.7492795389048992,1.0,0.0
pubchem_f020,0.7492795389048992,1.0,0.0
sugar_pattern_2,0.12910662824207492,1.0,0.0
pubchem_f363,0.06397694524495677,1.0,0.0
pubchem_f502,0.06397694524495677,1.0,0.0
pubchem_f381,0.45994236311239195,1.0,0.0
maccs_k123,0.45994236311239195,1.0,0.0
maccs_322_017,0.5446685878962536,1.0,0.0
pubchem_f353,0.8634005763688761,1.0,0.0
maccs_322_044,0.6829971181556196,1.0,0.0
pattern_c112,0.17002881844380405,1.0,0.0
hexoside,0.10144092219020173,1.0,0.0
pattern_c38,0.6270893371757925,1.0,0.0
_13-tautomerizable,0.6270893371757925,1.0,0.0
pattern_c305,0.05821325648414986,1.0,0.0
pubchem_f287,0.8760806916426513,1.0,0.0
pubchem_f662,0.15504322766570605,1.0,0.0
ALogp2,18.680272867435153,803.830234,0.0
pubchem_f441,0.37694524495677234,1.0,0.0
pubchem_f687,0.1654178674351585,1.0,0.0
oxygen_atom,0.9002881844380404,1.0,0.0
maccs_k164,0.9002881844380404,1.0,0.0
pubchem_f019,0.9002881844380404,1.0,0.0
aliph_carboxylic,0.2,1.0,0.0
maccs_322_127,0.5959654178674352,1.0,0.0
maccs_322_063,0.01440922190201729,1.0,0.0
carboxyl,0.21902017291066284,1.0,0.0
maccs_k087,0.08876080691642652,1.0,0.0
pubchem_f580,0.5406340057636888,1.0,0.0
pubchem_f391,0.461671469740634,1.0,0.0
pubchem_f702,0.2749279538904899,1.0,0.0
pubchem_f286,0.5043227665706052,1.0,0.0
aryl halide,0.08645533141210375,1.0,0.0
nitrogen_atom,0.5048991354466859,1.0,0.0
maccs_k161,0.5048991354466859,1.0,0.0
pubchem_f015,0.5048991354466859,1.0,0.0
pubchem_f517,0.5706051873198847,1.0,0.0
maccs_k089,0.38270893371757925,1.0,0.0
pubchem_f564,0.15677233429394813,1.0,0.0
ring_of_size5,0.4051873198847262,1.0,0.0
pubchem_f144,0.4051873198847262,1.0,0.0
maccs_k096,0.4051873198847262,1.0,0.0
pubchem_f608,0.28357348703170027,1.0,0.0
sugar_pattern_2_alpha,0.0893371757925072,1.0,0.0
pubchem_f348,0.12853025936599424,1.0,0.0
maccs_322_013,0.2414985590778098,1.0,0.0
pubchem_f463,0.1244956772334294,1.0,0.0
pubchem_f538,0.1244956772334294,1.0,0.0
pubchem_f352,0.4979827089337176,1.0,0.0
pattern_c39,0.4979827089337176,1.0,0.0
ATSc4,0.05494621741637828,2.436468,-3.204807
pattern_c48,0.4069164265129683,1.0,0.0
pubchem_f615,0.4069164265129683,1.0,0.0
maccs_k156,0.49913544668587895,1.0,0.0
pubchem_f444,0.6449567723342939,1.0,0.0
maccs_k050,0.22593659942363112,1.0,0.0
pattern_c113,0.12103746397694524,1.0,0.0
pubchem_f367,0.6236311239193083,1.0,0.0
pubchem_f634,0.23170028818443805,1.0,0.0
maccs_322_060,0.4046109510086455,1.0,0.0
fatty acyl,0.24956772334293947,1.0,0.0
pubchem_f840,0.1170028818443804,1.0,0.0
poly_sugar_1,0.07838616714697406,1.0,0.0
pubchem_f180,0.5948126801152738,1.0,0.0
pubchem_f690,0.6057636887608069,1.0,0.0
112_trisubstituted_alkene,0.1665706051873199,1.0,0.0
pubchem_f344,0.008645533141210375,1.0,0.0
pubchem_f541,0.4086455331412104,1.0,0.0
poly_sugar_2,0.07550432276657061,1.0,0.0
aliphatic_chain_13,0.15273775216138327,1.0,0.0
pubchem_f336,0.362536023054755,1.0,0.0
pubchem_f023,0.07492795389048991,1.0,0.0
maccs_k082,0.261671469740634,1.0,0.0
pubchem_f685,0.5014409221902018,1.0,0.0
r5_1ht_sat,0.11239193083573487,1.0,0.0
benzene,0.27780979827089336,1.0,0.0
phenoxide_para_subs,0.27780979827089336,1.0,0.0
unfused_benzene,0.27780979827089336,1.0,0.0
maccs_k125,0.31930835734870316,1.0,0.0
maccs_k100,0.2610951008645533,1.0,0.0
pattern_c324,0.03400576368876081,1.0,0.0
pubchem_f368,0.1377521613832853,1.0,0.0
pubchem_f611,0.13659942363112393,1.0,0.0
