attribute,mean,max,min
maccs_k093,0.2547550432276657,1.0,0.0
phenylalkyl_para_subs,0.14293948126801154,1.0,0.0
poly_sugar_1,0.07838616714697406,1.0,0.0
pubchem_f377,0.24322766570605187,1.0,0.0
cc_double_bond,0.3636887608069164,1.0,0.0
maccs_322_125,0.3636887608069164,1.0,0.0
maccs_k099,0.3636887608069164,1.0,0.0
maccs_k076,0.3631123919308357,1.0,0.0
pubchem_f442,0.7752161383285303,1.0,0.0
pattern_c16,0.2829971181556196,1.0,0.0
pattern_c42,0.33659942363112394,1.0,0.0
pattern_c41,0.33659942363112394,1.0,0.0
alkenyl,0.33659942363112394,1.0,0.0
pubchem_f286,0.5043227665706052,1.0,0.0
ewg,0.09510086455331412,1.0,0.0
maccs_k161,0.5048991354466859,1.0,0.0
nitrogen_atom,0.5048991354466859,1.0,0.0
pubchem_f015,0.5048991354466859,1.0,0.0
maccs_k122,0.4760806916426513,1.0,0.0
pubchem_f564,0.15677233429394813,1.0,0.0
poly_sugar_2,0.07550432276657061,1.0,0.0
pubchem_f023,0.07492795389048991,1.0,0.0
pubchem_f417,0.777521613832853,1.0,0.0
ATSc4,0.05494621741637828,2.436468,-3.204807
pattern_c108,0.07435158501440922,1.0,0.0
maccs_k100,0.2610951008645533,1.0,0.0
maccs_k126,0.738328530259366,1.0,0.0
aliphatic_chain_13,0.15273775216138327,1.0,0.0
pubchem_f450,0.2501440922190202,1.0,0.0
pubchem_f691,0.31239193083573485,1.0,0.0
pubchem_f638,0.7193083573487031,1.0,0.0
maccs_k146,0.5608069164265129,1.0,0.0
pubchem_f663,0.2547550432276657,1.0,0.0
pubchem_f578,0.11469740634005764,1.0,0.0
pattern_c96,0.20634005763688762,1.0,0.0
pubchem_f614,0.42881844380403455,1.0,0.0
pubchem_f718,0.016138328530259365,1.0,0.0
pubchem_f781,0.016138328530259365,1.0,0.0
pubchem_f039,0.025360230547550433,1.0,0.0
maccs_k104,0.44610951008645533,1.0,0.0
maccs_k082,0.261671469740634,1.0,0.0
pubchem_f353,0.8634005763688761,1.0,0.0
pattern_c113,0.12103746397694524,1.0,0.0
pattern_c101,0.23170028818443805,1.0,0.0
oxolane,0.0893371757925072,1.0,0.0
sugar_pattern_2_alpha,0.0893371757925072,1.0,0.0
maccs_322_061,0.736599423631124,1.0,0.0
ATSc5,-0.05239697693194928,3.054225,-3.357506
pubchem_f352,0.4979827089337176,1.0,0.0
pattern_c39,0.4979827089337176,1.0,0.0
maccs_322_258,0.17118155619596542,1.0,0.0
pattern_c100,0.21095100864553315,1.0,0.0
pattern_c97,0.21095100864553315,1.0,0.0
pubchem_f687,0.1654178674351585,1.0,0.0
pattern_c103,0.23573487031700288,1.0,0.0
pubchem_f541,0.4086455331412104,1.0,0.0
pubchem_f438,0.22478386167146974,1.0,0.0
pubchem_f586,0.21902017291066284,1.0,0.0
pubchem_f658,0.21902017291066284,1.0,0.0
pubchem_f656,0.2922190201729107,1.0,0.0
maccs_k123,0.45994236311239195,1.0,0.0
pubchem_f381,0.45994236311239195,1.0,0.0
pattern_c105,0.23804034582132566,1.0,0.0
maccs_322_060,0.4046109510086455,1.0,0.0
pubchem_f536,0.5878962536023055,1.0,0.0
azacycle,0.29394812680115273,1.0,0.0
maccs_k121,0.29394812680115273,1.0,0.0
pattern_c99,0.2270893371757925,1.0,0.0
pubchem_f496,0.22247838616714696,1.0,0.0
pattern_c139,0.035734870317002884,1.0,0.0
