attribute,mean,max,min
maccs_322_017,0.5446685878962536,1.0,0.0
maccs_322_013,0.2414985590778098,1.0,0.0
maccs_k129,0.5521613832853026,1.0,0.0
sugar_pattern_2,0.12910662824207492,1.0,0.0
aliph_carboxylic,0.2,1.0,0.0
pubchem_f367,0.6236311239193083,1.0,0.0
ATSc4,0.05494621741637828,2.436468,-3.204807
maccs_k112,0.9394812680115274,1.0,0.0
pubchem_f002,0.923342939481268,1.0,0.0
maccs_322_257,0.5827089337175793,1.0,0.0
ATSc5,-0.05239697693194928,3.054225,-3.357506
maccs_k082,0.261671469740634,1.0,0.0
pubchem_f381,0.45994236311239195,1.0,0.0
maccs_k123,0.45994236311239195,1.0,0.0
pubchem_f685,0.5014409221902018,1.0,0.0
sugar_pattern_combi,0.11873198847262248,1.0,0.0
maccs_k115,0.49971181556195965,1.0,0.0
sat_carb_r6,0.2420749279538905,1.0,0.0
pubchem_f690,0.6057636887608069,1.0,0.0
pubchem_f001,0.9648414985590779,1.0,0.0
pubchem_f336,0.362536023054755,1.0,0.0
pubchem_f421,0.6662824207492796,1.0,0.0
pubchem_f189,0.11181556195965418,1.0,0.0
carboxyl,0.21902017291066284,1.0,0.0
fatty acyl,0.24956772334293947,1.0,0.0
pubchem_f342,0.652449567723343,1.0,0.0
maccs_k152,0.652449567723343,1.0,0.0
pubchem_f682,0.2478386167146974,1.0,0.0
maccs_k154,0.659942363112392,1.0,0.0
ALogp2,18.680272867435153,803.830234,0.0
pubchem_f014,0.1377521613832853,1.0,0.0
pattern_c41,0.33659942363112394,1.0,0.0
pattern_c42,0.33659942363112394,1.0,0.0
alkenyl,0.33659942363112394,1.0,0.0
pubchem_f564,0.15677233429394813,1.0,0.0
pubchem_f662,0.15504322766570605,1.0,0.0
pubchem_f693,0.43746397694524497,1.0,0.0
hexoside,0.10144092219020173,1.0,0.0
maccs_k108,0.48818443804034584,1.0,0.0
aliphatic_chain_13,0.15273775216138327,1.0,0.0
pubchem_f699,0.5072046109510087,1.0,0.0
pubchem_f441,0.37694524495677234,1.0,0.0
pubchem_f348,0.12853025936599424,1.0,0.0
pattern_c73,0.4449567723342939,1.0,0.0
pubchem_f619,0.44553314121037463,1.0,0.0
pubchem_f777,0.2334293948126801,1.0,0.0
maccs_k076,0.3631123919308357,1.0,0.0
maccs_322_016,0.9798270893371758,1.0,0.0
pattern_c8,0.9798270893371758,1.0,0.0
maccs_k066,0.44149855907780977,1.0,0.0
pubchem_f335,0.23285302593659943,1.0,0.0
pubchem_f256,0.506628242074928,1.0,0.0
pubchem_f712,0.23227665706051873,1.0,0.0
aromatic,0.5072046109510087,1.0,0.0
maccs_k162,0.5072046109510087,1.0,0.0
maccs_k089,0.38270893371757925,1.0,0.0
pubchem_f571,0.469164265129683,1.0,0.0
pubchem_f669,0.4605187319884726,1.0,0.0
pubchem_f635,0.4605187319884726,1.0,0.0
pubchem_f371,0.47146974063400576,1.0,0.0
pubchem_f356,0.5020172910662825,1.0,0.0
pubchem_f640,0.30720461095100865,1.0,0.0
pubchem_f019,0.9002881844380404,1.0,0.0
oxygen_atom,0.9002881844380404,1.0,0.0
maccs_k164,0.9002881844380404,1.0,0.0
pattern_c113,0.12103746397694524,1.0,0.0
pubchem_f604,0.4547550432276657,1.0,0.0
pubchem_f678,0.4547550432276657,1.0,0.0
pubchem_f579,0.4547550432276657,1.0,0.0
pubchem_f585,0.4547550432276657,1.0,0.0
pubchem_f596,0.46455331412103745,1.0,0.0
pubchem_f609,0.46455331412103745,1.0,0.0
sugar_pattern_2_alpha,0.0893371757925072,1.0,0.0
meta_substituted_ring,0.49452449567723344,1.0,0.0
para_substituted_ring,0.4962536023054755,1.0,0.0
aliphatic_chain_4,0.8161383285302594,1.0,0.0
cc_double_bond,0.3636887608069164,1.0,0.0
maccs_k099,0.3636887608069164,1.0,0.0
maccs_322_125,0.3636887608069164,1.0,0.0
pubchem_f521,0.45763688760806914,1.0,0.0
pubchem_f471,0.45763688760806914,1.0,0.0
pubchem_f553,0.45763688760806914,1.0,0.0
pattern_c71,0.45763688760806914,1.0,0.0
pubchem_f372,0.45821325648414984,1.0,0.0
pubchem_f840,0.1170028818443804,1.0,0.0
maccs_k093,0.2547550432276657,1.0,0.0
pubchem_f583,0.9037463976945245,1.0,0.0
maccs_k094,0.08414985590778098,1.0,0.0
pubchem_f012,0.8778097982708933,1.0,0.0
maccs_322_043,0.8144092219020173,1.0,0.0
pubchem_f368,0.1377521613832853,1.0,0.0
sugar_pattern_2_beta,0.08530259365994236,1.0,0.0
pubchem_f691,0.31239193083573485,1.0,0.0
pubchem_f145,0.13659942363112393,1.0,0.0
pubchem_f611,0.13659942363112393,1.0,0.0
pubchem_f705,0.3930835734870317,1.0,0.0
pubchem_f516,0.03631123919308357,1.0,0.0
pubchem_f385,0.49221902017291064,1.0,0.0
acetal,0.13487031700288185,1.0,0.0
pattern_c75,0.49279538904899134,1.0,0.0
pubchem_f623,0.0276657060518732,1.0,0.0
